PK_NOMBRE_ESCUELA;FK_COMUNA;
Estadio Luis Cruchaga;Curacavi;
Complejo Deportivo Alexander Kurtovic;Tocopilla;
Centro Deportivo y Recreacional Villa Esperanza;Antofagasta;
Stade Francais;Santiago ;
Estadio El Bosque de Santa Ines;Vina del Mar;
Estadio Contraloria;Santiago ;
Estadio El Parron;Buin ;
Estadio El Cacique;Buin;
Estadio Municipal de Cerrillos;Santiago ;
Estadio C.T.I.;Santiago ;
Estadio Victor Braun Page;Maria Pinto;
Estadio Old Grangonian Club;Colina ;
Estadio Municipal de Til Til;Til Til;
Estadio Polpaico;Til Til ;
Estadio Municipal Rafael Olate;Papudo;
Estadio Municipal de El Tabo;El Tabo;
Estadio Huracan de Llolleo;San Antonio ;
Estadio Marista de Rancagua;Rancagua;
Pista Atletica Patricio Mekis;Rancagua;
Estadio Colegio Los Cipreses;Donihue ;
Complejo Deportivo Agrosuper;Donihue ;
Estadio Municipal Guillermo Chacon;Machali;
Estadio Froilan Naranjo;Requinoa ;
Estadio Municipal de Peumo;Peumo;
Estadio Municipal de Chanco;Chanco;
Estadio Municipal Aquiles Sani Guilardoni;Hualane;
Estadio Tineo Park;Concepcion ;
Estadio Anibal Pinto;Concepcion;
Estadio Fiscal de Hualqui;Hualqui;
Estadio Municipal de Calle Larga;Calle Larga;
Estadio Municipal de San Esteban;San Esteban;
Estadio Minas Melon;Nogales ;
Estadio Municipal de Santa Juana;Santa Juana;
Estadio Municipal de Canela Robinson Estay Zepeda;Canela;
Estadio Atletico Club Deportivo Refineria Concon;Concon;
Estadio Municipal de Catapilco;Zapallar ;
Estadio Cachagua;Zapallar ;
Estadio Litoral Maitencillo;Puchuncavi ;
Estadio Carlos Garcia;Vina del Mar ;
Estadio Municipal Miraflores;Vina del Mar;
Estadio Club Deportivo Ritoque;Quintero;
Estadio Municipal de Chepica;Chepica;
Estadio Municipal de Las Cabras;Las Cabras;
Estadio Municipal de Colbun;Colbun;
Estadio Municipal de Sagrada Familia;Sagrada Familia;
Estadio Aldea del Encuentro;Santiago ;
Estadio Municipal de Lontue;Molina ;
Complejo Deportivo Amador Donoso;Santiago ;
Campo Deportivo Parque Pierre Dubois;Santiago ;
Estadio Club Deportivo Maule;Maule;
Estadio Club Deportivo Colo Colo San Javier;San Javier;
Estadio Municipal de Pelequen;Malloa ;
Estadio Municipal de Rosario;Rengo ;
Estadio Municipal N°2 de Salamanca;Salamanca;
Estadio Municipal de La Cruz;La Cruz;
Complejo Deportivo de El Monte;El Monte;
Estadio Municipal de Gultro;Olivar ;
Complejo Deportivo Bicentenario;Rio Bueno;
Estadio Jose Fernandez;Puchuncavi ;
Estadio Club Deportivo Pullally;Papudo ;
Estadio Juan Uribe Barrientos;Quellon;
Estadio Pudeto;Ancud ;
Complejo Deportivo Lideinsenoba;Santiago ;
Complejo Deportivo Freddy Carvajal;Coquimbo ;
Estadio Maximiliano Caceres ;Graneros;
Estadio Santa Teresa de la Torina;Pichidegua;
Estadio Condor de Pichidegua;Pichidegua;
Estadio Union La Vega;Cabildo ;
Estadio Tricolor La Chimba;La Ligua;
Estadio Club Deportivo Bellavista;La Ligua ;
Estadio El Retiro;Quilpue;
Estadio Baquedano;Concepcion ;
Cancha Gente de Mar;Concepcion ;
Estadio Juan Bautista Alfaro;Ovalle ;
Estadio Universidad Tecnica Federico Santa Maria;Valparaiso;
Estadio Universdad Santa Maria Campus Jose Miguel Carrera;Vina del Mar;
Estadio Municipal Raul Inostroza;Santiago ;
Parque Las Palmeras;Santiago ;
Parque Deportivo Los Tilos;Santiago ;
Complejo Deportivo General Bonilla;Santiago ;
Complejo Deportivo Liga Aeropuerto;Santiago ;
Campo Deportivo Noviciado ;Pudahuel ;
Complejo Deportivo El Peral Puente Alto;Santiago ;
Canchas Ex Old Grangonian Club;Santiago ;
Estadio Sergio Eguiguren;Santiago ;
Complejo Deportivo Quilin;Santiago ;
Complejo Deportivo Santiago Morning;Santiago ;
Complejo Deportivo La Cisterna;Santiago ;
Ciudad Deportiva Huachipato;Talcahuano;
Ciudad Deportiva Ivan Zamorano;Santiago ;
Complejo Deportivo Parque Costanera del Cautin;Temuco;
Complejo Deportivo Fidencio Santander;Vallenar;
Estadio Meseta Azul;Vallenar;
Complejo Deportivo Colegio Ingles Catolico;La Serena;
Campo Deportivo Colegio Marista Nuestra Senora de Andacollo;La Serena ;
Complejo Deportivo Las Vegas;Calama;
Estadio Municipal Nicanor Apablaza Apablaza;Pelluhue;
Estadio Municipal Pedro Rojas Rivera;Vicuna;
Estadio Municipal de Collipulli;Collipulli;
Estadio Municipal de Los Vilos;Los Vilos;
Estadio Municipal de Pumanque;Pumanque;
Estadio Municipal Humberto Angel Astudillo;Combarbala;
Estadio Municipal de Arauco;Arauco;
Estadio Municipal de Litueche;Litueche;
Estadio Municipal de Dalcahue;Dalcahue;
Estadio Parque Deportivo Cincuentenario;Paillaco;
Estadio Jose Fernandez Llorens;Talca;
Estadio Scuola Italiana;Santiago ;
Estadio Municipal Wilfredo Gonzalez Zeballos;Andacollo;
Estadio Municipal de Chonchi;Chonchi;
Estadio Municipal de Yerbas Buenas;Yerbas Buenas;
Estadio Municipal Carlos Lobos Hernandez;Villa Alegre;
Estadio Municipal de Puyehue;Puyehue ;
Estadio Municipal de Catemu;Catemu;
Estadio Municipal de Paillaco;Paillaco;
Estadio Municipal de Requinoa;Requinoa;
Estadio Municipal de Achao;Quinchao ;
Estadio Bancario;Osorno;
Estadio Estrella Blanca;Puerto Montt;
Estadio Municipal de Puerto Saavedra;Puerto Saavedra;
Estadio Municipal de Lo Miranda;Donihue ;
Estadio Municipal de Peralillo;Peralillo;
Estadio Municipal de Bulnes;Bulnes;
Complejo Deportivo Rahue Alto;Osorno ;
Estadio Municipal de Punitaqui;Punitaqui;
Estadio Municipal Alejandro Olmos;Zapallar;
Estadio Municipal de El Carmen;El Carmen;
Estadio Municipal Jose Climent;Santiago ;
Estadio Municipal de Vilcun;Vilcun;
Estadio Ramon Moncho Vega;Illapel;
Estadio Municipal de Puren;Puren;
Estadio Municipal Alejo Nunez Carranza;Placilla;
Estadio Municipal de Los Sauces;Los Sauces;
Estadio Municipal de Olivar Alto;Olivar ;
Estadio Campo Deportivo Nielol;Temuco;
Estadio IND Puerto Montt;Puerto Montt;
Estadio Municipal de Pemuco;Pemuco;
Estadio Municipal Victor Borquez Miranda;Puerto Natales;
Estadio Municipal Enrique Palma Torres;Petorca;
Complejo Deportivo Municipal San Pedro;Maria Pinto;
Estadio Municipal Julio Riesco;Curacavi;
Estadio Municipal de Diego de Almagro;Diego de Almagro;
Estadio Municipal de Yungay;Yungay;
Estadio Colegio Academia de Humanidades;Santiago ;
Estadio Flecha de Concepcion;Concepcion;
Auditorio Osman Perez Freire;Valparaiso;
Estadio Municipal de Negrete;Negrete;
Estadio Papelero;Santiago ;
Estadio Valderrama;San Fernando;
Estadio Cerro Alto;Los Alamos ;
Cancha Trinidad de Limache;Limache;
Estadio Atletico de Quillota;Quillota;
Estadio Guacolda;Huasco;
Estadio Mantilhue;Rio Bueno ;
Estadio Municipal de Malalhue;Lanco ;
Complejo Deportivo La Granja;Canete;
Complejo Deportivo Las Almejas;Antofagasta;
Centro Deportivo y Recreacional Trabajadores Rol B de Codelco;Calama;
Estadio Cultural Cordillera;Santiago ;
Estadio Amanecer;Temuco;
Estadio Municipal de Putaendo;Putaendo;
Auditorio Manuel Guerrero;Valparaiso;
Estadio Compania Chilena de Fosforos;Rengo;
Cancha Club Deportivo Bandera de Chile;Pirque ;
Estadio La Faena;Santiago ;
Estadio Luciano Durandeau Prado;Antofagasta;
Estadio Municipal de San Gregorio de Niquen;Niquen ;
Complejo Deportivo Lautaro;Antofagasta;
Estadio Las Rejas;Santiago ;
Estadio Municipal de Galvarino;Galvarino;
Estadio Municipal de Marchigue;Marchigue;
Estadio Municipal de Palmilla;Palmilla;
Estadio New Life;Cartagena;
Estadio Puerto Nuevo;Cartagena;
Estadio Municipal Cancha N° 2 Asociacion de Futbol de Quintero;Quintero;
Estadio Municipal de Treguaco;Treguaco;
Estadio Jose Orlando Gonzalez;Algarrobo ;
Estadio Independiente de Rabuco;Hijuelas ;
Complejo Deportivo Costanera de Limache;Limache;
Estadio Diego Portales;Nueva Imperial;
Estadio ANFA Puerto Aysen;Puerto Aysen;
Estadio San Joaquin Oriente;Santiago ;
Estadio ANFA Llanquihue;Llanquihue;
Estadio Municipal Juan Bucarey;Rinconada de Los Andes;
Auditorio Pedro Aguirre Cerda;Valparaiso;
Estadio Complejo Deportivo Municipal Gomez Carreno;Vina del Mar;
Estadio Colegio Aleman de Valparaiso;Vina del Mar;
Estadio Municipal de Paredones;Paredones;
Estadio La Montura;Santiago ;
Estadio Fiscal de San Felipe;San Felipe;
Estadio La Obra;Talca;
Estadio Colegio San Benito;Santiago ;
Estadio Las Condes;Santiago ;
Estadio Municipal de Tongoy;Coquimbo ;
Complejo Deportivo Ulises Aguirre;Paihuano ;
Estadio Sarmiento;Santiago ;
Estadio Huamachuco II;Santiago ;
Estadio El Maiten;Codegua ;
Estadio Municipal de La Punta;Mostazal ;
Estadio San Enrique;Chimbarongo ;
Estadio Municipal de Lebu;Lebu;
Estadio Union La Parroquia;Cabildo ;
Estadio Tricolor El Sobrante;Petorca ;
Estadio Sector Norte;Arica;
Estadio Municipal El Boldo;Corral;
Estadio Atletico Militar;Concepcion;
Estadio Campos Deportivos;Temuco;
Estadio Liga Popular;Punta Arenas;
Estadio Municipal de Rio Negro;Rio Negro;
Estadio Municipal de Panquehue;Panquehue;
Estadio La Febre de Ocoa;Hijuelas ;
Cancha La Bombonera;Osorno;
Estadio Campeones Por Siempre;Tocopilla;
Estadio Municipal de Maullin;Maullin;
Estadio La Candelaria;Maullin ;
Cancha Sintetica Estadio Monumental;Santiago ;
Estadio Club Deportivo De Rugby y Hockey Old Navy R H C;Vina del Mar;
Complejo Deportivo Los Llanos;La Serena ;
Complejo Deportivo El Milagro;La Serena;
Estadio Vicente Perez Rosales;Chillan;
Estadio Arturo Prat;Chillan;
Estadio Rosita OHiggins;Chillan;
Estadio Municipal de Teodoro Schmidt;Teodoro Schmidt;
Estadio Municipal Carlos Schneeberger;Temuco;
Estadio Municipal Bicentenario de Pueblo Nuevo;Temuco;
Complejo Deportivo Rosen;Temuco;
Estadio Parque Isla Cautin;Temuco;
Estadio Municipal de Fresia;Fresia;
Estadio Municipal de Gorbea;Gorbea;
Estadio Santa Guadalupe;Lautaro;
Estadio Municipal Coyam;Lonquimay;
Estadio Panguesillo;Salamanca ;
Estadio Municipal de Pica;Pica;
Estadio Municipal de Nancagua;Nancagua;
Estadio Caupolican de Huelquen;Paine ;
Estadio Ferroviario de Paine;Paine;
Estadio Las Delicias de Viluco;Buin ;
Estadio Colonia Kennedy;Paine ;
Estadio Hospital de Pitrufquen;Pitrufquen;
Complejo Deportivo Universidad de Tarapaca;Arica;
Estadio Victor Chavez Alcayaga;Arica;
Estadio Cerro La Cruz;Arica;
Estadio Asociacion Andina de Futbol;Arica;
Estadio Rafael Rivas;Santiago ;
Estadio Santa Rosa de Chena;Santiago ;
Estadio Thomas Bata;Penaflor;
Estadio Union San Jose;Penaflor;
Estadio Fiscal Bonifacio Reyes;El Monte;
Estadio Alto Jahuel Unido;Buin ;
Estadio Maipo;Buin ;
Estadio Municipal Patricia;Santiago ;
Estadio Santa Emilia;Maria Pinto ;
Estadio Las Taguas;Curacavi ;
Estadio Esmeralda;Colina;
Estadio Parque Mahuidahue;Santiago ;
Estadio Municipal de Quirihue;Quirihue;
Estadio Municipal de Navidad;Navidad;
Estadio Municipal de Quilleco;Quilleco;
Estadio Marista de Villa Alemana;Villa Alemana;
Estadio Municipal Lomas de Chorrillos;Vina del Mar;
Estadio La Bombonera de Bollenar;Melipilla ;
Estadio San Bernardo de Mallarauco;Melipilla ;
Estadio Municipal Julio Ruiz Palma;Portezuelo;
Estadio ANFA Villa Alemana;Villa Alemana;
Complejo Deportivo Banco Santander;Santiago ;
Complejo Deportivo Codelco;Santiago ;
Estadio 21 de Mayo;Talca;
Estadio Jose Foncea Aedo;Talca;
Estadio Santa Ana FC;Talca;
Estadio Robert Kennedy;Santiago ;
Estadio Lo Prado;Santiago ;
Estadio Lo Valledor Norte;Santiago ;
Campo Deportivo Liga Norte de Futbol;Lampa ;
Estadio Escuela Hogar;Curico;
Estadio Municipal de Tirua;Tirua;
Estadio Juventud Torino;Rinconada de Los Andes;
Estadio Carlos Gonzalez Olivares;Los Vilos ;
Estadio Liceo San Jose de Requinoa;Requinoa;
Complejo Deportivo ANFA Valdivia;Valdivia;
Estadio Municipal de Queilen;Queilen;
Estadio La Caleta;Taltal;
Estadio Municipal de Seron;Rio Hurtado ;
Cancha N°2 Estadio Municipal de Mejillones;Mejillones;
Estadio Municipal de Curarrehue;Curarrehue;
Estadio Municipal de Loncoche;Loncoche;
Estadio Municipal de Los Lirios;Requinoa ;
Estadio Marista de Quillota Instituto Rafael Ariztia;Quillota;
Estadio Atletico Carlos Valentin Garcia;Osorno;
Estadio Chacabuco de El Carmen;El Carmen;
Estadio Jorquera;Salamanca ;
Estadio Cuncumen;Salamanca ;
Estadio Municipal de San Pablo;San Pablo;
Estadio Municipal de Ollague;Ollague;
Estadio Astaburuaga;Talca;
Estadio Municipal de Retiro;Retiro;
Complejo Deportivo Alejandro Soria Varas;Iquique;
Complejo Deportivo Escolar Corvallis;Antofagasta;
Estadio Municipal de Romeral;Romeral;
Estadio Municipal de Vichuquen;Vichuquen;
Cancha Alto del Carmen;Alto del Carmen;
Complejo Deportivo Santa Elvira;Santiago ;
Estadio Municipal de Trovolhue;Carahue ;
Estadio Municipal de Colchane;Colchane;
Estadio Club Deportivo Pencahue;Pencahue;
Estadio Sargento Aldea;Santiago ;
Estadio Francisco Bermudez;Punta Arenas;
Estadio Lourdes;Rancagua;
Cancha N°2 Estadio Monumental;Santiago ;
Estadio Municipal de Conchali;Santiago ;
Estadio Municipal de Cerro Navia;Santiago ;
Estadio Municipal de Frutillar;Frutillar;
Complejo Deportivo Sergio Sandoval Parada;Coronel;
